Monocyte1	chrM
E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11
0	0	0	0	0	0	0	1	0	0	0
0	0	0	0.0005	0	0	0.0001	0.9992	0.0001	0	0.0001
0	0	0	0.0007	0	0	0.0002	0.9989	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9988	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0009	0	0	0.0002	0.9986	0.0001	0	0.0002
0	0	0	0.0009	0	0	0.0002	0.9985	0.0001	0	0.0002
0	0	0	0.001	0	0	0.0003	0.9983	0.0001	0.0001	0.0002
0	0	0	0.0013	0	0	0.0005	0.9976	0.0001	0.0001	0.0003
0	0	0	0.0021	0	0	0.0009	0.9959	0.0001	0.0004	0.0006
0	0	0	0.0039	0	0	0.002	0.9914	0.0003	0.001	0.0013
