Monocyte2	chrM
E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11
0	0	0	0	0	0	0	1	0	0	0
0	0	0	0.0006	0	0	0.0001	0.9986	0.0005	0	0.0001
0	0	0	0.001	0	0	0.0003	0.9944	0.0041	0	0.0002
0	0	0	0.0013	0	0	0.0003	0.9615	0.0365	0	0.0003
0	0	0	0.0012	0	0	0.0003	0.9941	0.0042	0.0001	0.0002
0	0	0	0.001	0	0	0.0002	0.998	0.0005	0	0.0002
0	0	0	0.0009	0	0	0.0002	0.9985	0.0001	0	0.0002
0	0	0	0.0009	0	0	0.0002	0.9986	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
0	0	0	0.0008	0	0	0.0002	0.9987	0.0001	0	0.0002
