state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.44133	67.48787	9.65246	1.64552	2.56729	74.76465	22.76300	0.26428
2	0.87704	6.34021	2.68710	1.49212	2.64756	5.72495	8.97630	0.33761
3	1.01479	0.40985	2.21323	1.62178	2.28126	1.10390	1.76557	0.35291
4	2.18908	0.70327	1.12408	1.35295	1.52239	1.40269	2.82142	0.41765
5	0.59483	13.37636	3.07783	1.38349	2.58089	12.22844	11.72701	0.40153
6	0.34489	58.45514	6.92648	1.33707	3.37642	26.61092	16.24322	0.48230
7	4.86190	3.35929	1.40043	0.96559	1.58598	2.14098	3.12294	0.95782
8	79.69375	0.13868	0.52885	0.85982	0.62301	0.31548	0.49330	1.12101
9	0.79116	1.49248	1.79957	1.04435	2.35150	1.57197	1.63290	0.68811
10	7.59506	0.56182	4.16511	2.21596	3.51492	0.45792	0.60391	0.28125
11	1.59618	1.09610	1.53140	0.75191	1.42843	0.66895	0.72750	0.77369
Base	100	0.69283	2.48814	42.74052	0.00094	0.00107	3.45896	37.26170
